name,status,effort,type_line,mana_cost,cmc,rarity,first_set,first_released,keywords,oracle_text,effort_reason
Boom Scholar,missing,Medium,Creature — Goblin Advisor,{1}{R}{G},3.0,uncommon,dft,2025-02-14,Exhaust,"Exhaust abilities of other permanents you control cost {2} less to activate.
Exhaust — {4}{R}{G}: Creatures and Vehicles you control gain trample until end of turn. Put two +1/+1 counters on this creature. (Activate each exhaust ability only once.)",oracle:counters on
Afterburner Expert,missing,Medium,Creature — Goblin Artificer,{2}{G},3.0,rare,dft,2025-02-14,Exhaust,"Exhaust — {2}{G}{G}: Put two +1/+1 counters on this creature. (Activate each exhaust ability only once.)
Whenever you activate an exhaust ability, return this card from your graveyard to the battlefield.",oracle:counters on
Greasewrench Goblin,missing,Medium,Creature — Goblin Artificer,{R},1.0,uncommon,dft,2025-02-14,Exhaust,"Exhaust — {2}{R}: Discard up to two cards, then draw that many cards. Put a +1/+1 counter on this creature. (Activate each exhaust ability only once.)",oracle:counter on
Molten-Core Maestro,missing,Medium,Creature — Goblin Bard,{1}{R},2.0,rare,psos,2026-04-24,"Menace, Opus","Menace
Opus — Whenever you cast an instant or sorcery spell, put a +1/+1 counter on this creature. If five or more mana was spent to cast that spell, add an amount of {R} equal to this creature's power.",oracle:counter on
Goblin Airbrusher,missing,Medium,Creature — Goblin Employee,{1}{R},2.0,uncommon,unf,2022-10-07,Treasure,"Whenever you place a sticker, create a Treasure token. If it's an art sticker, instead create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this token: Add one mana of any color."")","oracle:whenever you place a sticker, "
Goblin Girder Gang,missing,Medium,Creature — Goblin Employee,{3}{R},4.0,uncommon,unf,2022-10-07,Reach,"Reach
Whenever you roll a die, if the result isn't stored on this creature, you may store that result on it. When you do, this creature deals 1 damage to any target without a hat.
This creature gets +1/+0 for each result stored on it.","oracle:whenever you roll a die, if "
________ Goblin,missing,Medium,Creature — Goblin Guest,{2}{R},3.0,common,unf,2022-10-07,,"When this creature enters, you may put a name sticker on it. Add {R} for each unique vowel on that sticker. (The vowels are A, E, I, O, U, and Y.)",oracle:for each
Howlsquad Heavy,missing,Medium,Creature — Goblin Mercenary,{2}{R},3.0,rare,pdft,2025-02-14,"Max speed, Start your engines!","Start your engines!
Other Goblins you control have haste.
At the beginning of combat on your turn, create a 1/1 red Goblin creature token. That token attacks this combat if able.
Max speed — {T}: Add {R} for each Goblin you control.",oracle:for each
Fugitive Codebreaker,missing,Medium,Creature — Goblin Rogue,{1}{R},2.0,rare,mkm,2024-02-09,"Prowess, Haste, Disguise","Prowess, haste
Disguise {5}{R}. This cost is reduced by {1} for each instant and sorcery card in your graveyard. (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, discard your hand, then draw three cards.",oracle:prowess
Construction Arsonist,missing,Medium,Creature — Goblin Rogue Wizard,{1}{R},2.0,rare,ymkm,2024-03-05,,"When Construction Arsonist enters, you may choose an instant or sorcery card in your hand. If you do, that card perpetually incorporates {R} and gains ""When you cast this spell, it deals 2 damage to each opponent.""
Whenever you cast a multicolored spell, Construction Arsonist gets +1/+1 until end of turn for each of that spell's colors.",oracle:for each
Redcap Gutter-Dweller,missing,Medium,Creature — Goblin Warrior,{2}{R}{R},4.0,rare,woe,2023-09-08,Menace,"Menace
When this creature enters, create two 1/1 black Rat creature tokens with ""This token can't block.""
At the beginning of your upkeep, you may sacrifice another creature. If you do, put a +1/+1 counter on this creature and exile the top card of your library. You may play that card this turn.",oracle:counter on
Village Pillagers,missing,Medium,Creature — Goblin Warrior,{3}{R}{R},5.0,rare,ecc,2026-01-23,"Treasure, Wither","Wither (This deals damage to creatures in the form of -1/-1 counters.)
When this creature enters, it deals 1 damage to each creature your opponents control.
Whenever a creature an opponent controls with a counter on it dies, you create a tapped Treasure token.",oracle:wither
Goblin Cruciverbalist,missing,Medium,Creature — Goblin Wizard Guest,{2}{R},3.0,rare,unf,2022-10-07,Haste,"Haste
When this creature enters, create a colorless artifact token named your choice of A, E, I, O, or U.
Whenever this creature attacks, using the first letters of the names of permanents you control, spell a word you haven't spelled this game. It gets +1/+0 until end of turn for each letter in that word.",oracle:for each
Barbflare Gremlin,missing,Medium,Creature — Gremlin,{3}{R},4.0,rare,dsc,2024-09-27,"First strike, Haste","First strike, haste
Whenever a player taps a land for mana, if this creature is tapped, that player adds one mana of any type that land produced. Then that land deals 1 damage to that player.",oracle:whenever a player taps a land 
Grime Gorger,missing,Medium,Creature — Horror,{2}{B}{G},4.0,rare,ncc,2022-04-29,Menace,"Menace
Whenever this creature attacks, exile up to one card of each card type from defending player's graveyard. Put a +1/+1 counter on this creature for each card exiled this way.",oracle:counter on
Lurking Spinecrawler,missing,Medium,Creature — Horror,{3}{B},4.0,uncommon,ymkm,2024-03-05,,"When Lurking Spinecrawler enters, you may choose a nonland card in your hand. If you do, that card perpetually incorporates {1}{B} and gains ""When you cast this spell, each opponent sacrifices a creature. Each opponent who can't discards a card.""
Whenever you cast a multicolored spell, for each of that spell's colors, each opponent loses 1 life and you gain 1 life.",oracle:choose a 
Brightfield Mustang,missing,Medium,Creature — Horse Mount,{3}{W},4.0,common,dft,2025-02-14,Saddle,"Whenever this creature attacks while saddled, untap it and put a +1/+1 counter on it.
Saddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",oracle:counter on
Switchgrass Grazer,missing,Medium,Creature — Horse Mount,{2}{R}{R},4.0,uncommon,yotj,2024-05-07,"Saddle, Haste","Haste
Whenever Switchgrass Grazer attacks, it deals 1 damage to any target. If Switchgrass Grazer is saddled and a creature was dealt damage this way, that creature perpetually gains ""This creature can't block"" and ""Damage isn't removed from this creature during cleanup steps.""
Saddle 1",oracle:whenever switchgrass grazer at
A-Cosmos Charger,missing,Medium,Creature — Horse Spirit,{2}{U},3.0,rare,khm,2022-02-24,"Flying, Flash, Foretell","Flash
Flying
Foretelling cards from your hand costs {1} less and can be done on any player's turn.
Foretell {U}",oracle:foretell
A Girl and Her Dogs,missing,Medium,Creature — Human,{4}{W},5.0,rare,mb2,2024-08-02,,"When A Girl and Her Dogs enters the battlefield and at the beginning of your upkeep, create a 1/1 white legendary Dog creature token and name it.
Whenever A Girl and Her Dogs attacks, it gets +1/+1 until end of turn for each legendary creature you control.",oracle:for each
Orphans of the Wheat,missing,Medium,Creature — Human,{1}{W},2.0,uncommon,dsk,2024-09-27,,"Whenever this creature attacks, tap any number of untapped creatures you control. This creature gets +1/+1 until end of turn for each creature tapped this way.",oracle:for each
Shahrazad and Sindbad,missing,Medium,Creature — Human,{2}{W}{U},4.0,rare,unk,2023-05-06,,"Whenever Shahrazad and Sindbad deals combat damage to an opponent, if there haven't been any subgames this match, players play a Magic subgame using their libraries as their decks. Each player who doesn't win the subgame loses half their life, rounded up.
{T}: Draw a card and reveal it. If it isn't a land card, discard it.",oracle:whenever shahrazad and sindbad
Duelist of the Mind,missing,Medium,Creature — Human Advisor,{1}{U},2.0,rare,otj,2024-04-19,"Flying, Vigilance","Flying, vigilance
Duelist of the Mind's power is equal to the number of cards you've drawn this turn.
Whenever you commit a crime, you may draw a card. If you do, discard a card. This ability triggers only once each turn.","oracle:whenever you commit a crime, y"
Fioran Reformist,missing,Medium,Creature — Human Advisor,{2}{W},3.0,rare,unk,2023-07-29,,"When Fioran Reformist enters the battlefield, if a player is the monarch, get rid of the monarchy.
Democracy is in effect until Fioran Reformist leaves the battlefield. (At the beginning of each player's end step, if they control more creatures than each other player, they draw a card. Players can't become the monarch.)",oracle:at the beginning of each playe
Orzhov Advokist,missing,Medium,Creature — Human Advisor,{2}{W},3.0,uncommon,c16,2016-11-11,,"At the beginning of your upkeep, each player may put two +1/+1 counters on a creature they control. If a player does, creatures that player controls can't attack you or planeswalkers you control until your next turn.",oracle:counters on
Tax Collector,missing,Medium,Creature — Human Advisor,{1}{W},2.0,uncommon,acr,2024-07-05,Detain,"When this creature enters, choose one —
• Tax — Until your next turn, spells your opponents cast cost {1} more to cast.
• Arrest — Detain target creature an opponent controls. (Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)",oracle:choose one
A-Geology Enthusiast,missing,Medium,Creature — Human Artificer,{2}{U}{U},4.0,rare,bro,2024-01-12,Vigilance,"Vigilance
At the beginning of your end step, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")
{5}: Draw a card and put a +1/+1 counter on Geology Enthusiast.",oracle:counter on
Catch-Up Mechanic,missing,Medium,Creature — Human Artificer,{4}{W},5.0,common,unk,2025-02-21,,"When this creature enters, choose one. If an opponent has at least 5 more life than you, choose any number instead—
• Put two +1/+1 counters on another target creature or Vehicle.
• Return target artifact card from your graveyard to your hand.
• Look at the top five cards of your library. Reveal an artifact card from among them and put it into your hand. Put the rest on the bottom in a random order.",oracle:choose one
Fire Nation Engineer,missing,Medium,Creature — Human Artificer,{2}{B},3.0,uncommon,tla,2025-11-21,Raid,"Raid — At the beginning of your end step, if you attacked this turn, put a +1/+1 counter on another target creature or Vehicle you control.",oracle:counter on
Juggernaut Peddler,missing,Medium,Creature — Human Artificer,{W}{B},2.0,rare,ydmu,2022-10-05,"Vigilance, Conjure","Vigilance
When Juggernaut Peddler enters, target player reveals all nonland cards in their hand. You may choose one of those cards. If you do, that player exiles it and conjures a card named Juggernaut into their hand.",oracle:choose one
Sibsig's Artisan,missing,Medium,Creature — Human Artificer,{1}{B},2.0,rare,ytdm,2025-04-29,Renew,"Renew — {1}{B}{B}, Exile this card from your graveyard: Put three +1/+1 counters on target creature you control. It perpetually gains this ability. Activate only as a sorcery.",oracle:counters on
Yotian Courier,missing,Medium,Creature — Human Artificer,{U}{R},2.0,rare,ybro,2022-12-13,"Flying, Seek","Flying
Whenever Yotian Courier attacks, choose one that wasn't chosen during your last combat —
• Create a tapped Powerstone token.
• Seek a nonland card with mana value equal to the number of Powerstones you control.",oracle:choose one
